handle,title,currentVendor,note,ownerDecision
"toyota-supra-a90-bmw-z4-b58-3-0l-turbo-cold-air-intake-system","Toyota Supra A90 BMW Z4 (B58 3.0l turbo) Cold Air Intake System","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"b58-supra-bmw-port-injection","B58 Supra/Bmw Port Injection","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"honda-k-series-oem-2nd-gear-type-s","Honda K Series Oem 2nd Gear Type S","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"flush-mount-hood-pins","Flush Mount Hood Pins","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"vacuum-block","Vacuum block","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"street-series-ii-plus-coilovers-92-00-civic-94-01-integra","STREET SERIES II PLUS COILOVERS - 92-00 CIVIC / 94-01 INTEGRA","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"traction-bar-kit-92-00-civic-94-01-integra","TRACTION BAR KIT - 92-00 CIVIC / 94-01 INTEGRA","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"competition-series-qr-s2000-clutch-master-cylinder","COMPETITION SERIES QR S2000 CLUTCH MASTER CYLINDER","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"tuner-series-throttle-body-honda-b-d-f-h-series","TUNER SERIES THROTTLE BODY - HONDA B/D/F/H-SERIES","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"rear-camber-kit-88-00-civic-90-01-integra","REAR CAMBER KIT - 88-00 CIVIC / 90-01 INTEGRA","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"drag-pro-series-coilovers-92-00-civic-eg-ek-94-01-integra-dc","DRAG PRO+ SERIES COILOVERS - 92-00 CIVIC EG EK / 94-01 INTEGRA DC","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"rsx-oem-spec-shifter-cables","Rsx Oem Spec Shifter Cables","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"92-00-honda-civic-2dr-quick-release-hood-hinges","92-00 Honda Civic 2dr Quick Release Hood Hinges","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"honda-insane-shaft-swap-axles","Honda Insane Shaft Swap Axles","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"alternator-relocation-kit-k-series","Alternator Relocation Kit K Series","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"flywheels","Flywheels","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"honda-k-series-type-s-tucked-engine-harness","HONDA K Series Type S Tucked Engine Harness","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"02-04-rsx-to-05-06-vss-jumper-harness","02-04 rsx to 05-06 VSS Jumper Harness","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"pte-turbos","PTE Turbos","syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"honda-k-series-thermostat-heater-plug","Honda K Series Thermostat Heater Plug","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"prb-water-housing","Prb Water Housing","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"honda-k-series-rbc-rbb-water-plate","HONDA K SERIES RBC/RBB WATER PLATE","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"syp-catch-can-overflow-combo","SYP Catch Can/Overflow Combo","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"2-5-stainless-uj-bend","2.5"" Stainless UJ Bend","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"turbo-oil-drain-line-kit","Turbo Oil Drain Line Kit","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"turbo-blanket","Turbo Blanket","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"turbo-oil-feed-line-kit","Turbo Oil Feed Line Kit","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"electronic-boost-controller","Electronic Boost Control Solenoid","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"boost-solenoid-pushloc-kit","Boost Solenoid Pushloc Kit","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"k-series-steel-tapped-oil-pan","K Series Steel Tapped Oil Pan","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"civic-integra-throttle-cable","Civic/Integra Throttle Cable","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"k-series-to-b-series-tps-jumper-harness","K Series to B Series Tps Jumper Harness","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"k-series-rbb-rbc-water-bypass","K series Rbb/Rbc Water Bypass","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"rbc-rbb-throttle-body-adapter-plate-kit","RBC/RBB Throttle Body Adapter Plate Kit","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"k-series-adjustable-idler-pulley-kit","K Series Adjustable Idler Pulley Kit","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"k-series-type-s-oil-pump-kit","K Series Type S Oil Pump Kit","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"honda-k-series-water-necks","Honda K Series Water Necks","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
"scatter-sheild","Scatter Sheild","Syperformance","Unconfirmed — vendor spelling normalised only. Is this made in-house or resold?",""
