handle,origin,brand,currentTitle,proposedTitle,reason,approvedTitle
"k-series-collars","IN-HOUSE","Synchro Solutionz","K Series Collars","","",""
"k-series-5spd-synchro-solutions-kit","IN-HOUSE","Synchro Solutionz","K Series 5spd Synchro Solutionz Kit","","",""
"honda-lsd-b16-fwd-k-awd-fwd-b-awd","IN-HOUSE","Synchro Solutionz","Honda LSD B16 FWD, K AWD/FWD, B AWD","","",""
"honda-k-series-vss-speedo-ring","IN-HOUSE","Synchro Solutionz","Honda K Series VSS Speedo Ring","","",""
"honda-k-series-seals-kit","RESOLD","honda","Honda K Series Seals Kit","","",""
"honda-k-series-bearings-kit","RESOLD","honda","Honda K Series Bearings Kit","","",""
"honda-b-k-differential-bearing-kit","IN-HOUSE","Synchro Solutionz","Honda B/K Differential Bearing Kit","","",""
"walbro-fuel-pump","RESOLD","Walbro","Walbro Fuel Pump","","",""
"koyo-radiator-lancer-evolution","RESOLD","Koyo","Koyo Radiator Lancer Evolution","Koyo Radiator Lancer Evo","spelling normalised",""
"syp-k-series-fuel-rail","UNKNOWN","SYPerformance","Syp K Series Fuel Rail","SYPerformance K Series Fuel Rail","spelling normalised",""
"lancer-evolution-7-8-9-intercooler","IN-HOUSE","SYPerformance","Lancer Evolution 7/8/9 Intercooler","SYPerformance Lancer Evo 7/8/9 Intercooler","spelling normalised; brand prefix added",""
"dual-backdoor-intercooler","IN-HOUSE","SYPerformance","Dual Backdoor Intercooler","SYPerformance Dual Backdoor Intercooler","brand prefix added",""
"universal-intercooler-800-1000hp","IN-HOUSE","SYPerformance","Universal Intercooler 800-1000hp","SYPerformance Universal Intercooler 800-1000hp","brand prefix added",""
"toyota-supra-a90-bmw-z4-b58-3-0l-turbo-cold-air-intake-system","UNKNOWN","SYPerformance","Toyota Supra A90 BMW Z4 (B58 3.0l turbo) Cold Air Intake System","Toyota Supra A90 BMW Z4 (B58 3.0l Turbo) Cold Air Intake System","",""
"b58-supra-bmw-port-injection","UNKNOWN","SYPerformance","B58 Supra/Bmw Port Injection","B58 Supra/BMW Port Injection","",""
"b58-supra-bmw-charge-pipe-kit","IN-HOUSE","SYPerformance","B58 Supra/Bmw Charge Pipe Kit","SYPerformance B58 Supra/BMW Charge Pipe Kit","brand prefix added",""
"b58-downpipe-bmw-supra","IN-HOUSE","SYPerformance","B58 Downpipe Toyota Supra A90/A91","SYPerformance B58 Downpipe Toyota Supra A90/A91","brand prefix added",""
"honda-k-series-custom-turbo-manifold","IN-HOUSE","SYPerformance","Honda K Series Custom Turbo Manifold","SYPerformance Honda K Series Custom Turbo Manifold","brand prefix added",""
"honda-k-series-rwd-forward-facing-manifold","IN-HOUSE","SYPerformance","Honda K Series Rwd Forward Facing Manifold","SYPerformance Honda K Series RWD Forward Facing Manifold","brand prefix added",""
"b-series-hydro-500hp-billet-halfshaft","IN-HOUSE","SYPerformance","B Series Hydro Billet Halfshaft","SYPerformance B Series Hydro Billet Halfshaft","spelling normalised; brand prefix added",""
"k-series-single-lobe-billet-rockers","IN-HOUSE","SYPerformance","K Series Single Lobe Billet Rockers","SYPerformance K Series Single Lobe Billet Rockers","brand prefix added",""
"honda-k-series-oem-2nd-gear-type-s","UNKNOWN","SYPerformance","Honda K Series Oem 2nd Gear Type S","Honda K Series OEM 2nd Gear Type S","",""
"flush-mount-hood-pins","UNKNOWN","SYPerformance","Flush Mount Hood Pins","","",""
"mickey-thompson-radials","RESOLD","Mickey Thompson","Mickey Thompson Radials","","",""
"aem-400lph-inline-fuel-pump","RESOLD","Aem","Aem 400lph Inline Fuel Pump","AEM 400lph Inline Fuel Pump","",""
"aem-150-psi-sensors","RESOLD","Aem","Aem 150 psi sensors","AEM 150 PSI Sensors","",""
"aem-smart-coil","RESOLD","Aem","Aem Smart Coil","AEM Smart Coil","",""
"vibrant-mufflers","RESOLD","Vibrant","Vibrant Mufflers","","",""
"vibrant-resonators","RESOLD","Vibrant","Vibrant Resonators","","",""
"vacuum-block","UNKNOWN","SYPerformance","Vacuum block","Vacuum Block","",""
"street-series-ii-plus-coilovers-92-00-civic-94-01-integra","UNKNOWN","SYPerformance","STREET SERIES II PLUS COILOVERS - 92-00 CIVIC / 94-01 INTEGRA","Street Series II Plus Coilovers - 92-00 Civic / 94-01 Integra","was ALL CAPS",""
"traction-bar-kit-92-00-civic-94-01-integra","UNKNOWN","SYPerformance","TRACTION BAR KIT - 92-00 CIVIC / 94-01 INTEGRA","Traction Bar Kit - 92-00 Civic / 94-01 Integra","was ALL CAPS",""
"billet-throttle-body-v2-honda-b-d-f-h-series-70mm-72mm-74mm-76mm","IN-HOUSE","SYPerformance","BILLET THROTTLE BODY V2 - HONDA B/D/F/H-SERIES - 70MM/72MM/74MM/76MM","SYPerformance Billet Throttle Body V2 - Honda B/D/F/H-series - 70MM/72MM/74MM/76MM","was ALL CAPS; brand prefix added",""
"competition-series-qr-s2000-clutch-master-cylinder","UNKNOWN","SYPerformance","COMPETITION SERIES QR S2000 CLUTCH MASTER CYLINDER","Competition Series QR S2000 Clutch Master Cylinder","was ALL CAPS",""
"tuner-series-throttle-body-honda-b-d-f-h-series","UNKNOWN","SYPerformance","TUNER SERIES THROTTLE BODY - HONDA B/D/F/H-SERIES","Tuner Series Throttle Body - Honda B/D/F/H-series","was ALL CAPS",""
"rear-camber-kit-88-00-civic-90-01-integra","UNKNOWN","SYPerformance","REAR CAMBER KIT - 88-00 CIVIC / 90-01 INTEGRA","Rear Camber Kit - 88-00 Civic / 90-01 Integra","was ALL CAPS",""
"blox-radiator-92-00-civic-integra","RESOLD","Blox","Blox Radiator 92-00 Civic/Integra","","",""
"deatschwerks-fuel-pressure-regulators-6-1002-frb","RESOLD","DeatschWerks","DeatschWerks Fuel Pressure Regulators 6-1002-FRB","Deatschwerks Fuel Pressure Regulators 6-1002-FRB","",""
"drag-pro-series-coilovers-92-00-civic-eg-ek-94-01-integra-dc","UNKNOWN","SYPerformance","DRAG PRO+ SERIES COILOVERS - 92-00 CIVIC EG EK / 94-01 INTEGRA DC","Drag Pro+ Series Coilovers - 92-00 Civic EG EK / 94-01 Integra Dc","was ALL CAPS",""
"competition-series-coilovers-92-00-civic-94-01-integra","RESOLD","Blox","COMPETITION SERIES COILOVERS - 92-00 CIVIC / 94-01 INTEGRA","Competition Series Coilovers - 92-00 Civic / 94-01 Integra","was ALL CAPS",""
"blox-drag-series-full-coilovers-92-00-honda-civic-94-01-integra-excl-integra-type-r","RESOLD","BLOX","BLOX DRAG SERIES FULL COILOVERS 92-00 HONDA CIVIC 94-01 INTEGRA (EXCL INTEGRA TYPE R)","Blox Drag Series Full Coilovers 92-00 Honda Civic 94-01 Integra (excl Integra Type R)","was ALL CAPS",""
"rsx-oem-spec-shifter-cables","UNKNOWN","SYPerformance","Rsx Oem Spec Shifter Cables","RSX OEM Spec Shifter Cables","",""
"92-00-honda-civic-2dr-quick-release-hood-hinges","UNKNOWN","SYPerformance","92-00 Honda Civic 2dr Quick Release Hood Hinges","","",""
"honda-insane-shaft-swap-axles","UNKNOWN","SYPerformance","Honda Insane Shaft Swap Axles","","",""
"alternator-relocation-kit-k-series","UNKNOWN","SYPerformance","Alternator Relocation Kit K Series","","",""
"honda-k-series-billet-lower-timing-chain-guide","IN-HOUSE","SYPerformance","HONDA K SERIES BILLET LOWER TIMING CHAIN GUIDE","SYPerformance Honda K Series Billet Lower Timing Chain Guide","was ALL CAPS; brand prefix added",""
"injector-dynamics-injectors","RESOLD","Injector Dynamics","Injector Dynamics Injectors","","",""
"fuel-injector-clinic-injectors","RESOLD","Fuel Injector Clinic","Fuel Injector Clinic Injectors","","",""
"triple-disc-comp-clutch","IN-HOUSE","Comp 1 Clutch","Comp 1 Triple Disc Clutch","","",""
"twin-disk-clutch-comp-clutch","IN-HOUSE","Comp 1 Clutch","Comp 1 Twin Disc Clutch","","",""
"competition-clutch-kits-single-disk","RESOLD","Competition Clutch","Competition Clutch Kits-Single Disk","Competition Clutch Kits-single Disk","",""
"flywheels","UNKNOWN","SYPerformance","Flywheels","","",""
"honda-k-series-type-s-tucked-engine-harness","UNKNOWN","SYPerformance","HONDA K Series Type S Tucked Engine Harness","Honda K Series Type S Tucked Engine Harness","",""
"hondata-kpro-v4","RESOLD","Hondata","Hondata Kpro V4","Hondata KPro V4","",""
"02-04-rsx-to-05-06-vss-jumper-harness","UNKNOWN","SYPerformance","02-04 rsx to 05-06 VSS Jumper Harness","02-04 RSX To 05-06 VSS Jumper Harness","",""
"pte-turbos","UNKNOWN","SYPerformance","PTE Turbos","","",""
"aem-wideband","RESOLD","Aem","Aem wideband","AEM Wideband","",""
"coolant-overflow-tank","IN-HOUSE","SYPerformance","Coolant Overflow Tank","SYPerformance Coolant Overflow Tank","brand prefix added",""
"honda-k-series-coolant-fill-necks","IN-HOUSE","SYPerformance","Honda K Series Coolant Fill Necks","SYPerformance Honda K Series Coolant Fill Necks","brand prefix added",""
"honda-k-series-coolant-fill-pot","IN-HOUSE","SYPerformance","Honda K Series Coolant Fill Pot","SYPerformance Honda K Series Coolant Fill Pot","brand prefix added",""
"honda-k-series-thermostat-heater-plug","UNKNOWN","SYPerformance","Honda K Series Thermostat Heater Plug","","",""
"aluminum-6061-weld-on-cap-2","IN-HOUSE","SYPerformance","Aluminum 6061 Weld On Cap 2""","SYPerformance Aluminum 6061 Weld On Cap 2""","brand prefix added",""
"prb-water-housing","UNKNOWN","SYPerformance","Prb Water Housing","","",""
"honda-k-series-rbc-rbb-water-plate","UNKNOWN","SYPerformance","HONDA K SERIES RBC/RBB WATER PLATE","Honda K Series RBC/RBB Water Plate","was ALL CAPS",""
"pie-cuts-6pc","IN-HOUSE","SYPerformance","Pie Cuts 6pc","SYPerformance Pie Cuts 6pc","brand prefix added",""
"titanium-studs-single","IN-HOUSE","SYPerformance","Titanium Studs Single","SYPerformance Titanium Studs Single","brand prefix added",""
"syp-catch-can-overflow-combo","UNKNOWN","SYPerformance","SYP Catch Can/Overflow Combo","SYPerformance Catch Can/Overflow Combo","spelling normalised",""
"2-5-stainless-uj-bend","UNKNOWN","SYPerformance","2.5"" Stainless UJ Bend","","",""
"turbo-flanges-t3-t4-vband","IN-HOUSE","SYPerformance","Turbo Flanges T3/T4/Vband","SYPerformance Turbo Flanges T3/T4/V-Band","spelling normalised; brand prefix added",""
"turbo-head-flanges","IN-HOUSE","SYPerformance","Turbo Head Flanges","SYPerformance Turbo Head Flanges","brand prefix added",""
"stainless-vband-assembly","IN-HOUSE","SYPerformance","Stainless Vband Assembly","SYPerformance Stainless V-Band Assembly","spelling normalised; brand prefix added",""
"turbo-oil-drain-line-kit","UNKNOWN","SYPerformance","Turbo Oil Drain Line Kit","","",""
"turbo-blanket","UNKNOWN","SYPerformance","Turbo Blanket","","",""
"turbo-oil-feed-line-kit","UNKNOWN","SYPerformance","Turbo Oil Feed Line Kit","","",""
"electronic-boost-controller","UNKNOWN","SYPerformance","Electronic Boost Control Solenoid","","",""
"boost-solenoid-pushloc-kit","UNKNOWN","SYPerformance","Boost Solenoid Pushloc Kit","","",""
"turbosmart-genv-raceport-bov","RESOLD","TurboSmart","TurboSmart GenV RacePort BOV","Turbosmart Genv Raceport BOV","",""
"turbosmart-genv-hypergate-14psi-external-wastegate-45mm-or-60mm-v-band","RESOLD","Turbosmart","Turbosmart GenV HyperGate 14psi External Wastegate (45mm or 60mm V-Band)","Turbosmart Genv Hypergate 14psi External Wastegate (45mm or 60mm V-band)","",""
"k-series-steel-tapped-oil-pan","UNKNOWN","SYPerformance","K Series Steel Tapped Oil Pan","","",""
"civic-integra-throttle-cable","UNKNOWN","SYPerformance","Civic/Integra Throttle Cable","","",""
"k-series-to-b-series-tps-jumper-harness","UNKNOWN","SYPerformance","K Series to B Series Tps Jumper Harness","K Series To B Series Tps Jumper Harness","",""
"k-series-rbb-rbc-water-bypass","UNKNOWN","SYPerformance","K series Rbb/Rbc Water Bypass","K Series RBB/RBC Water Bypass","",""
"rbc-rbb-throttle-body-adapter-plate-kit","UNKNOWN","SYPerformance","RBC/RBB Throttle Body Adapter Plate Kit","","",""
"k-series-titanium-intake-studs","IN-HOUSE","SYPerformance","K Series Titanium Intake Studs","SYPerformance K Series Titanium Intake Studs","brand prefix added",""
"b-d-h-series-intake-manifold-titanuim-studs","IN-HOUSE","SYPerformance","B/D/H Series Intake Manifold Titanuim Studs","SYPerformance B/D/H Series Intake Manifold Titanium Studs","spelling normalised; brand prefix added",""
"b-d-h-series-titanium-exhaust-studs","IN-HOUSE","SYPerformance","B/D/H Series Titanium Exhaust Studs","SYPerformance B/D/H Series Titanium Exhaust Studs","brand prefix added",""
"evo-x-titanium-exhaust-manifold-studs","IN-HOUSE","SYPerformance","Evo X Titanium Exhaust Manifold Studs","SYPerformance Evo X Titanium Exhaust Manifold Studs","brand prefix added",""
"evo-8-9-titanium-exhaust-studs","IN-HOUSE","SYPerformance","EVO 8/9 Titanium Exhaust Studs","SYPerformance Evo 8/9 Titanium Exhaust Studs","brand prefix added",""
"evo-8-9-bottom-mount-turbo-manifold","IN-HOUSE","SYPerformance","Evo 8/9 Bottom Mount Turbo Manifold","SYPerformance Evo 8/9 Bottom Mount Turbo Manifold","brand prefix added",""
"evo-8-9-top-mount-turbo-manifold","IN-HOUSE","SYPerformance","Evo 8/9 Top Mount Turbo Manifold Vband","SYPerformance Evo 8/9 Top Mount Turbo Manifold V-Band","spelling normalised; brand prefix added",""
"evo-8-9-forward-facing-turbo-manifold","IN-HOUSE","SYPerformance","Evo 8/9 Forward Facing Turbo Manifold","SYPerformance Evo 8/9 Forward Facing Turbo Manifold","brand prefix added",""
"mitsubishi-evo-x-top-mount-turbo-manifold-v-band","IN-HOUSE","SYPerformance","MITSUBISHI EVO X TOP MOUNT TURBO MANIFOLD V BAND","SYPerformance Mitsubishi Evo X Top Mount Turbo Manifold V-Band","was ALL CAPS; spelling normalised; brand prefix added",""
"evo-x-stock-placement-turbo-manifold","IN-HOUSE","SYPerformance","Evo X Stock Placement Turbo Manifold","SYPerformance Evo X Stock Placement Turbo Manifold","brand prefix added",""
"mitsubishi-evo-8-9-turbo-manifold-factory-placement","IN-HOUSE","SYPerformance","MITSUBISHI EVO 8/9 TURBO MANIFOLD FACTORY PLACEMENT","SYPerformance Mitsubishi Evo 8/9 Turbo Manifold Factory Placement","was ALL CAPS; brand prefix added",""
"honda-k-series-titanium-exhaust-manifold-studs","IN-HOUSE","SYPerformance","Honda K Series Titanium Exhaust Manifold Studs","SYPerformance Honda K Series Titanium Exhaust Manifold Studs","brand prefix added",""
"turbo-manifold-shorty-studs-m10x1-5","IN-HOUSE","SYPerformance","Titanium Turbo Manifold Shorty Studs M10x1.5","SYPerformance Titanium Turbo Manifold Shorty Studs M10x1.5","brand prefix added",""
"honda-forward-facing-turbo-manifold-sfwd-b-d-h","IN-HOUSE","SYPerformance","Honda Forward Facing Turbo Manifold SFWD B/D/H","SYPerformance Honda Forward Facing Turbo Manifold SFWD B/D/H","brand prefix added",""
"s2000-turbo-manifold-k-f","IN-HOUSE","SYPerformance","Honda S2000 Turbo Manifold K/F RWD","SYPerformance Honda S2000 Turbo Manifold K/F RWD","brand prefix added",""
"honda-ram-horn-turbo-manifold-b-d-series-ac","IN-HOUSE","SYPerformance","Honda Ram Horn Turbo Manifold B/D Series AC","SYPerformance Honda Ram Horn Turbo Manifold B/D Series Ac","brand prefix added",""
"honda-mini-ram-turbo-manifold-b-d-series","IN-HOUSE","SYPerformance","Honda Mini Ram Turbo Manifold B/D/H Series","SYPerformance Honda Mini Ram Turbo Manifold B/D/H Series","brand prefix added",""
"honda-top-mount-turbo-manifold-b-d-h-series","IN-HOUSE","SYPerformance","Honda Top Mount Turbo Manifold B/D/H Series","SYPerformance Honda Top Mount Turbo Manifold B/D/H Series","brand prefix added",""
"honda-k-series-sidewinder-turbo-manifold","IN-HOUSE","SYPerformance","Honda K Series Sidewinder Turbo Manifold","SYPerformance Honda K Series Sidewinder Turbo Manifold","brand prefix added",""
"k-series-adjustable-idler-pulley-kit","UNKNOWN","SYPerformance","K Series Adjustable Idler Pulley Kit","","",""
